,colorname,length,position,L,a,b
0,Reds,trunc,first,97.16752232694893,2.5018493689774046,3.5806887670917664
1,Reds,trunc,last,62.88666282401796,53.28654202316274,45.113333975009205
2,Reds,extend,first,97.16752232694893,2.5018493689774046,3.5806887670917664
3,Reds,extend,last,19.68974764083608,41.48725413736426,24.732345830249102
4,Greys,trunc,first,99.99833859065517,0.007453578313165732,-0.011938365951391638
5,Greys,trunc,last,62.31394747303911,0.005032133628790625,-0.008059947887106844
6,Greys,extend,first,99.99833859065517,0.007453578313165732,-0.011938365951391638
7,Greys,extend,last,0.0,0.0,0.0
8,Purples,trunc,first,98.74033736225851,0.6887373678604591,-0.8501570321626017
9,Purples,trunc,last,65.5873218369243,11.098270359075679,-22.970214321541405
10,Purples,extend,first,98.74033736225851,0.6887373678604591,-0.8501570321626017
11,Purples,extend,last,18.086783998213114,49.37180633186164,-54.13413382724964
12,Blues,trunc,first,98.42605012812771,-0.5919854351392195,-2.3819577566383643
13,Blues,trunc,last,68.37300796360472,-10.350459673991285,-26.642820501357043
14,Blues,extend,first,98.42605012812771,-0.5919854351392195,-2.3819577566383643
15,Blues,extend,last,20.9309227399591,11.945851616872643,-38.06264639496422
16,Greens,trunc,first,98.42564823592615,-2.868369643874935,2.758672430499476
17,Greens,trunc,last,72.70063847258103,-40.33730778846339,31.539401268469746
18,Greens,extend,first,98.42564823592615,-2.868369643874935,2.758672430499476
19,Greens,extend,last,24.364123292433952,-30.10225411076822,19.306901474084327
20,Oranges,trunc,first,97.04831488091527,1.675742964992899,5.98666616122745
21,Oranges,trunc,last,69.76577197842016,36.470871263707735,59.18565539258227
22,Oranges,extend,first,97.04831488091527,1.675742964992899,5.98666616122745
23,Oranges,extend,last,29.34039016488387,36.606038828128796,39.619620561217886
