item_no,ProvinceName1,ProvinceEnglishName1,Data1,ProvinceName2,ProvinceEnglishName2,Data2,ProvinceName3,ProvinceEnglishName3,Data3,ProvinceName4,ProvinceEnglishName4,Data4,Colour
1,黑龙江省,Heilongjiang,190,吉林省,Jilin,190,辽宁省,Liaoning,200,内蒙古自治区,Neimenggu,180,Reds
2,河北省,Hebei,170,吉林省,Jilin,190,辽宁省,Liaoning,200,内蒙古自治区,Neimenggu,180,Greys
3,河北省,Hebei,170,吉林省,Jilin,190,辽宁省,Liaoning,200,北京市,Beijing,200,Purples
4,河北省,Hebei,170,天津市,Tianjin,180,辽宁省,Liaoning,200,北京市,Beijing,200,Blues
5,河北省,Hebei,170,天津市,Tianjin,180,内蒙古自治区,Neimenggu,180,北京市,Beijing,200,Greens
6,河北省,Hebei,170,山西省,Shanxi,190,内蒙古自治区,Neimenggu,180,北京市,Beijing,200,Oranges
7,河北省,Hebei,270,山西省,Shanxi,290,天津市,Tianjin,280,北京市,Beijing,300,Reds
8,河北省,Hebei,270,山西省,Shanxi,290,陕西省,Shaanxi,300,北京市,Beijing,300,Greys
9,河北省,Hebei,270,山西省,Shanxi,290,陕西省,Shaanxi,300,河南省,Henan,280,Purples
10,四川省,Sichuan,270,贵州省,Guizhou,290,广西壮族自治区,Guangxi,280,广东省,Guangdong,300,Blues
11,河北省,Hebei,270,山西省,Shanxi,290,陕西省,Shaanxi,300,内蒙古自治区,Neimenggu,280,Greens
12,河北省,Hebei,270,山西省,Shanxi,290,陕西省,Shaanxi,300,宁夏回族自治区,Ningxia,280,Oranges
13,河北省,Hebei,370,山西省,Shanxi,390,陕西省,Shaanxi,400,甘肃省,Gansu,370,Reds
14,内蒙古自治区,Neimenggu,380,山西省,Shanxi,390,陕西省,Shaanxi,400,宁夏回族自治区,Ningxia,380,Greys
15,内蒙古自治区,Neimenggu,380,山西省,Shanxi,390,陕西省,Shaanxi,400,河南省,Henan,370,Purples
16,内蒙古自治区,Neimenggu,380,陕西省,Shaanxi,400,宁夏回族自治区,Ningxia,380,甘肃省,Gansu,370,Blues
17,内蒙古自治区,Neimenggu,380,青海省,Qinghai,400,宁夏回族自治区,Ningxia,380,甘肃省,Gansu,370,Greens
18,新疆维吾尔自治区,Xinjiang,390,西藏自治区,Xizang,380,青海省,Qinghai,400,甘肃省,Gansu,370,Oranges
19,新疆维吾尔自治区,Xinjiang,490,内蒙古自治区,Neimenggu,480,青海省,Qinghai,500,甘肃省,Gansu,470,Reds
20,山东省,Shandong,500,河南省,Henan,480,安徽省,Anhui,480,江苏省,Jiangsu,490,Greys
21,山东省,Shandong,500,浙江省,Zhejiang,500,安徽省,Anhui,480,江苏省,Jiangsu,490,Purples
22,山东省,Shandong,500,浙江省,Zhejiang,500,安徽省,Anhui,480,河南省,Henan,480,Blues
23,山东省,Shandong,500,江苏省,Jiangsu,490,上海市,Shanghai,500,河南省,Henan,480,Greens
24,山东省,Shandong,500,浙江省,Zhejiang,500,福建省,Fujian,480,江苏省,Jiangsu,490,Oranges
25,河南省,Henan,580,安徽省,Anhui,580,江苏省,Jiangsu,590,上海市,Shanghai,600,Reds
26,浙江省,Zhejiang,600,安徽省,Anhui,580,江苏省,Jiangsu,590,上海市,Shanghai,600,Greys
27,上海市,Shanghai,600,浙江省,Zhejiang,600,福建省,Fujian,580,广东省,Guangdong,600,Purples
28,江西省,Jiangxi,590,浙江省,Zhejiang,600,福建省,Fujian,580,广东省,Guangdong,600,Blues
29,江西省,Jiangxi,590,浙江省,Zhejiang,600,福建省,Fujian,580,湖南省,Hunan,590,Greens
30,江西省,Jiangxi,590,湖南省,Hunan,590,福建省,Fujian,580,广东省,Guangdong,600,Oranges
31,江西省,Jiangxi,690,湖北省,Hubei,700,福建省,Fujian,680,广东省,Guangdong,700,Reds
32,江西省,Jiangxi,690,浙江省,Zhejiang,700,福建省,Fujian,680,湖北省,Hubei,700,Greys
33,江西省,Jiangxi,690,湖北省,Hubei,700,湖南省,Hunan,690,广东省,Guangdong,700,Purples
34,广西壮族自治区,Guangxi,670,湖北省,Hubei,700,湖南省,Hunan,690,贵州省,Guizhou,670,Blues
35,重庆市,Chongqing,680,湖北省,Hubei,700,湖南省,Hunan,690,贵州省,Guizhou,670,Greens
36,重庆市,Chongqing,680,湖北省,Hubei,700,四川省,Sichuan,690,贵州省,Guizhou,670,Oranges
37,云南省,Yunnan,800,四川省,Sichuan,790,重庆市,Chongqing,780,贵州省,Guizhou,770,Reds
38,云南省,Yunnan,800,四川省,Sichuan,790,重庆市,Chongqing,780,广西壮族自治区,Guangxi,770,Greys
39,云南省,Yunnan,800,重庆市,Chongqing,780,贵州省,Guizhou,770,广西壮族自治区,Guangxi,770,Purples
40,云南省,Yunnan,800,贵州省,Guizhou,770,广东省,Guangdong,800,广西壮族自治区,Guangxi,770,Blues
41,青海省,Qinghai,790,西藏自治区,Xizang,790,四川省,Sichuan,800,重庆市,Chongqing,780,Greens
42,青海省,Qinghai,770,西藏自治区,Xizang,790,云南省,Yunnan,800,四川省,Sichuan,780,Oranges
43,云南省,Yunnan,870,西藏自治区,Xizang,890,四川省,Sichuan,880,贵州省,Guizhou,900,Reds
44,云南省,Yunnan,870,西藏自治区,Xizang,890,四川省,Sichuan,900,广西壮族自治区,Guangxi,900,Greys
45,西藏自治区,Xizang,870,青海省,Qinghai,890,甘肃省,Gansu,900,陕西省,Shaanxi,880,Purples
46,西藏自治区,Xizang,870,青海省,Qinghai,890,四川省,Sichuan,880,陕西省,Shaanxi,900,Blues
47,西藏自治区,Xizang,870,宁夏回族自治区,Ningxia,890,甘肃省,Gansu,900,新疆维吾尔自治区,Xinjiang,880,Greens
